Population de 60 ans et plus,,,,,
,,,,,
,1990,1999,2009,2014,2020
Montpellier,37800,40159,45910,50573,56389
Hérault,172137,200170,253404,289847,331099
France hexagonale,10677745,12031694,14086066,15750163,17292414
"Source(s) : Insee, RP",,,,,
