Nombre de familles avec enfant(s) de moins de 25 ans,,,,,
,,,,,
,1990,1999,2009,2014,2020
Montpellier,27740,27148,31360,32829,35952
Hérault,120012,127772,144300,152327,161599
France hexagonale,8906816,8604450,8934451,9046434,9076713
"Source(s) : Insee, RP",,,,,
